Micrometer (mm),Corrected Voltage (mV)
4.84,150.47
4.85,150.87
4.86,151.17
4.87,151.47
4.88,151.57
4.89,151.97
4.90,152.17
4.91,152.77
4.92,152.97
4.93,153.37
4.94,153.87
4.95,154.27
4.96,154.67
4.97,155.07
4.98,155.57
4.99,156.07
5.00,156.37
5.01,156.67
5.02,157.17
5.03,157.37
5.04,157.47
5.05,157.67
5.06,157.77
5.07,157.77
5.08,157.97
5.09,158.27
5.10,160.57
5.11,158.77
5.12,159.17
5.13,159.27
5.14,159.57
5.15,159.77
5.16,160.07
5.17,160.17
5.18,160.27
5.19,160.57
5.20,160.67
5.21,160.97
5.22,160.97
5.23,161.07
5.24,161.07
5.25,161.07
5.26,161.07
5.27,161.17
5.28,161.27
5.29,161.27
5.30,161.37
5.31,161.37
5.32,161.47
5.33,161.67
5.34,161.97
5.35,161.97
5.36,162.07
5.37,161.97
5.38,161.77
5.39,161.57
5.40,161.47
5.41,161.47
5.42,161.67
5.43,161.57
5.44,161.57
5.45,161.77
5.46,161.67
5.47,161.67
5.48,161.57
5.49,161.37
5.50,161.37
5.51,161.27
5.52,161.07
5.53,160.97
5.54,160.87
5.55,160.67
5.56,160.57
5.57,160.37
5.58,160.17
5.59,159.97
5.60,159.87
5.61,159.57
5.62,159.27
5.63,159.07
5.64,158.77
5.65,158.57
5.66,158.27
5.67,157.97
5.68,157.77
5.69,157.47
5.70,157.37
5.71,156.97
5.72,156.77
5.73,156.47
5.74,156.07
5.75,155.67
5.76,155.37
5.77,155.07
5.78,154.77
5.79,154.47
5.80,154.17
5.81,153.87
5.82,153.47
5.83,153.07
5.84,152.87